# corpus index — Assets/Animations/Mixamo30 — 2026-08-21T02:02:25Z — 2446 clips
clip_name	asset_path	guid	file_id	length	frame_rate	loop
mx_Advancing_And_Punching_With_Butt_Of_A_Rifle	Assets/Animations/Mixamo30/mx_Advancing_And_Punching_With_Butt_Of_A_Rifle.fbx	c616f5d68045d584aac595400de67b8c	-203655887218126122	2.766667	30	false
mx_Advancing_And_Stabbing_With_Rifle_Bayonet_Or_Spear	Assets/Animations/Mixamo30/mx_Advancing_And_Stabbing_With_Rifle_Bayonet_Or_Spear.fbx	e4da4e2754808994ab45bd42209e076e	-203655887218126122	3.266667	30	false
mx_Aerial_360_Degree_Front_Side_Rotation_Kick_With_Rear_Foot	Assets/Animations/Mixamo30/mx_Aerial_360_Degree_Front_Side_Rotation_Kick_With_Rear_Foot.fbx	59a5377739b90ba4c8cea188f45ae82f	-203655887218126122	2.66666675	30	false
mx_Aerial_Backflip_To_Land	Assets/Animations/Mixamo30/mx_Aerial_Backflip_To_Land.fbx	e92e368a96728324b8dcae9456d2c1f9	-203655887218126122	2.13333344	30	false
mx_Afoxe_Samba_Reggae_Dance	Assets/Animations/Mixamo30/mx_Afoxe_Samba_Reggae_Dance.fbx	d4383a3b024697b44839051c8aaef2c7	-203655887218126122	19.8000011	30	false
mx_Agony_Holding_The_Head	Assets/Animations/Mixamo30/mx_Agony_Holding_The_Head.fbx	0fa10a9794df47d47bf712d517c5a30b	-203655887218126122	3.70000029	30	false
mx_Agreeing_Yes	Assets/Animations/Mixamo30/mx_Agreeing_Yes.fbx	b83c4076a859ad44ba6f3bce15d5aa33	-203655887218126122	1.83333337	30	false
mx_Aim_Pistol_While_Sitting	Assets/Animations/Mixamo30/mx_Aim_Pistol_While_Sitting.fbx	7a13019d70185594e98fe122f4bb2602	-203655887218126122	5.4333334	30	false
mx_Aiming_Idle_Looking_Around_With_Bow	Assets/Animations/Mixamo30/mx_Aiming_Idle_Looking_Around_With_Bow.fbx	1cc1a61ce0a4443458f33037c7a719e5	-203655887218126122	5.00000048	30	false
mx_Aiming_Idle_With_Bow	Assets/Animations/Mixamo30/mx_Aiming_Idle_With_Bow.fbx	63b52676d7429a44fb4208063603ddf7	-203655887218126122	3.766667	30	false
mx_Air_Squat_Workout	Assets/Animations/Mixamo30/mx_Air_Squat_Workout.fbx	9b4f6c9b40e2b3749b19cbe4defcf76e	-203655887218126122	1.86666679	30	false
mx_Air_Squat_Workout_2	Assets/Animations/Mixamo30/mx_Air_Squat_Workout_2.fbx	92b30adfd370418458f7fd415059a695	-203655887218126122	1.86666679	30	false
mx_Aj_Defeat_Idle	Assets/Animations/Mixamo30/mx_Aj_Defeat_Idle.fbx	604528a610d5db7468c30ac07598240a	-203655887218126122	1.63333344	30	false
mx_Aj_Pointing_Gesture	Assets/Animations/Mixamo30/mx_Aj_Pointing_Gesture.fbx	9ff5da2a0209b8441b3cb11737f6b38c	-203655887218126122	1.83333337	30	false
mx_Aj_Victory_Idle	Assets/Animations/Mixamo30/mx_Aj_Victory_Idle.fbx	3612d831d25bea4468f97a9b78ee0474	-203655887218126122	1.66666675	30	false
mx_Aj_Waving_Gesture	Assets/Animations/Mixamo30/mx_Aj_Waving_Gesture.fbx	982d46e276909464ebc948f7d9dcdc60	-203655887218126122	1.4666667	30	false
mx_Aj_Whatever_Gesture	Assets/Animations/Mixamo30/mx_Aj_Whatever_Gesture.fbx	dc46775d11c230f43a6070546d0a3464	-203655887218126122	1.4000001	30	false
mx_Angrily_Pumping_Fists_Forward	Assets/Animations/Mixamo30/mx_Angrily_Pumping_Fists_Forward.fbx	b7eabab31bd894642a2daf301b26f64d	-203655887218126122	3.266667	30	false
mx_Angry_Forward_Gesture	Assets/Animations/Mixamo30/mx_Angry_Forward_Gesture.fbx	f0d97ff93978f29408e99a0e8ad1136d	-203655887218126122	2.2	30	false
mx_Armed_Villain_Holding_A_Hostage_From_Behind	Assets/Animations/Mixamo30/mx_Armed_Villain_Holding_A_Hostage_From_Behind.fbx	047d3242c7f66c04eb8dc42304a0f558	-203655887218126122	5.00000048	30	false
mx_Armed_Villain_Holding_A_Hostage_From_Behind_2	Assets/Animations/Mixamo30/mx_Armed_Villain_Holding_A_Hostage_From_Behind_2.fbx	98bc1f664c75f064985ec9252bec01eb	-203655887218126122	5.00000048	30	false
mx_Armed_Villain_Releasing_Hostage	Assets/Animations/Mixamo30/mx_Armed_Villain_Releasing_Hostage.fbx	1a65c60ee589f76429ac5e5704896223	-203655887218126122	3.06666684	30	false
mx_Armed_Villain_Releasing_Hostage_2	Assets/Animations/Mixamo30/mx_Armed_Villain_Releasing_Hostage_2.fbx	193b6f6d2ce890e4c9584be84056dbbc	-203655887218126122	3.06666684	30	false
mx_Armed_Villain_Taking_A_Hostage_From_Behind	Assets/Animations/Mixamo30/mx_Armed_Villain_Taking_A_Hostage_From_Behind.fbx	83042ccf3c9e2944a8a58427e14a447d	-203655887218126122	2.16666675	30	false
mx_Arms_Behind_Back	Assets/Animations/Mixamo30/mx_Arms_Behind_Back.fbx	0ae634080f670b94892658d7730adfb3	-203655887218126122	0.0333333351	30	false
mx_Arms_Down	Assets/Animations/Mixamo30/mx_Arms_Down.fbx	03f5d23db79ec8943ab7117dec9f8406	-203655887218126122	0.0333333351	30	false
mx_Arms_Down_2	Assets/Animations/Mixamo30/mx_Arms_Down_2.fbx	399caef50e63a1a428be15384138c241	-203655887218126122	0.0333333351	30	false
mx_Arms_Holding_Left_Knee_Reclining	Assets/Animations/Mixamo30/mx_Arms_Holding_Left_Knee_Reclining.fbx	c0d576730d8ffb84e9e6e8afd62e6c7d	-203655887218126122	0.0333333351	30	false
mx_Arms_Holding_Right_Knee	Assets/Animations/Mixamo30/mx_Arms_Holding_Right_Knee.fbx	eeb244edda73457488e67945ceca57ed	-203655887218126122	0.0333333351	30	false
mx_Arms_Raised	Assets/Animations/Mixamo30/mx_Arms_Raised.fbx	8b11e5fddeb44ec4f970bc38f84fa61a	-203655887218126122	0.0333333351	30	false
mx_Arms_Resting_On_Knees	Assets/Animations/Mixamo30/mx_Arms_Resting_On_Knees.fbx	9b87d11b87ba3054d95877dddf690747	-203655887218126122	0.0333333351	30	false
mx_Arms_Slightly_Spread	Assets/Animations/Mixamo30/mx_Arms_Slightly_Spread.fbx	871914550b5a1b048be5029456a2ec48	-203655887218126122	0.0333333351	30	false
mx_Arms_Spread_Looking_Upwards	Assets/Animations/Mixamo30/mx_Arms_Spread_Looking_Upwards.fbx	ab4b8a3803f0b654eb8403781a8ea3c2	-203655887218126122	0.0333333351	30	false
mx_Arms_Supporting	Assets/Animations/Mixamo30/mx_Arms_Supporting.fbx	9fbca9e508b4e2b4ca2335727a0c98c0	-203655887218126122	0.0333333351	30	false
mx_Asking_A_Question	Assets/Animations/Mixamo30/mx_Asking_A_Question.fbx	6266a45f980a81340a9d302790d537e9	-203655887218126122	5.166667	30	false
mx_Asking_A_Question_With_One_Hand	Assets/Animations/Mixamo30/mx_Asking_A_Question_With_One_Hand.fbx	b121e8df9fd6afa498928c74f6f859ad	-203655887218126122	3.766667	30	false
mx_Asking_A_Question_With_Two_Hands	Assets/Animations/Mixamo30/mx_Asking_A_Question_With_Two_Hands.fbx	dd19c6bf9e2df504aa5f1af252c2d8d4	-203655887218126122	3.93333364	30	false
mx_Attacker_Brutal_Assassination_With_Pipe	Assets/Animations/Mixamo30/mx_Attacker_Brutal_Assassination_With_Pipe.fbx	8172d2ca511625544b379a37f7e2a1c5	-203655887218126122	4.9333334	30	false
